co ; что  
cokolwiek ; что угодно  
coś ; что-то  
cóż ; что же  
ja ; я  
jedno ; одно  
kto ; кто  
ktokolwiek ; кто угодно  
ktoś ; кто-то  
któż ; кто же  
nic ; ничего  
nikt ; никто  
my ; мы  
on ; он  
samo ; само  
siebie ; себя  
się ; себя 
tamto ; то самое 
to ; это  
ty ; ты  
wszystko ; всё  
wy ; вы  

bez ; без  
blisko ; близко  
celem ; с целью  
co ; что  
dla ; для  
do ; до, к  
dokoła ; вокруг  
dookoła ; вокруг  
drogą ; через  
dzięki ; благодаря  
jako ; как  
koło ; около  
ku ; к  
między ; между  
mimo ; несмотря на  
na ; на  
nad ; над  
naprzeciw ; напротив  
naprzeciwko ; напротив  
niby ; как будто  
niczym ; ничем  
niedaleko ; недалеко  
o ; об  
obok ; возле  
od ; от  
odnośnie ; относительно  
około ; около  
oprócz ; кроме  
po ; после  
pod ; под  
podczas ; во время  
pomiędzy ; между  
pomimo ; несмотря на  
ponad ; более, над  
poniżej ; ниже  
poprzez ; через  
pośrodku ; посередине  
pośród ; среди  
powyżej ; выше  
poza ; за пределами  
prócz ; кроме  
przeciw ; против  
przeciwko ; против  
przed ; перед  
przez ; через  
przy ; при, около  
spod ; из-под  
spośród ; среди  
spoza ; извне  
sprzed ; из-под 
temu ; тому 
u ; у  
w ; в  
wbrew ; вопреки  
wedle ; согласно  
według ; согласно
wewnątrz ; внутри  
wobec ; по отношению к  
wokół ; вокруг  
wskutek ; вследствие  
wśród ; среди  
wzdłuż ; вдоль  
względem ; относительно  
z ; из  
za ; за 
zamiast ; вместо  
znad ; над чем-то
zza ; из-за  

a ; а  
aby ; чтобы  
aczkolwiek ; хотя  
albo ; или  
albowiem ; ибо  
ale ; но  
ależ ; однако же  
ani ; ни  
aniżeli ; нежели  
aż ; до, вплоть до  
ażeby ; чтобы  
bądź ; либо  
bo ; потому что  
bowiem ; ведь  
by ; чтобы  
byle ; лишь бы  
chociaż ; хотя  
chociażby ; хотя бы  
choć ; хоть  
choćby ; хоть бы  
co ; что  
dopóki ; пока  
gdy ; когда  
gdyby ; если бы  
gdyż ; так как  
i ; и  
ile ; сколько  
im ; чем  
iż ; что  
jak ; как  
jakkolwiek ; как бы ни  
jako ; как  
jako że ; так как  
jednakże ; однако  
jeśli ; если  
jeśliby ; если бы  
lecz ; но  
lub ; или  
mimo iż ; несмотря на то что  
natomiast ; зато
ni ; ни  
nie tyle ; не столько  
nim ; прежде чем  
niż ; чем  
o ile ; если, насколько  
o tyle ; настолько  
oraz ; а также  
podczas gdy ; в то время как  
ponieważ ; поскольку  
póki ; пока  
przeto ; поэтому  
skoro ; поскольку  
tedy ; значит  
to ; то  
toteż ; поэтому  
tyle że ; только что  
tym ; тем  
więc ; следовательно  
zamiast ; вместо  
zanim ; прежде чем  
zarówno ; как ... так и  
zaś ; же  
zatem ; следовательно  
że ; что  
żeby ; чтобы  

aby ; чтобы  
ale ; но  
akurat ; как раз  
ano ; ну да  
bądź ; либо  
bądź co bądź ; как бы то ни было  
bodaj ; хотя бы  
by ; чтобы  
bynajmniej ; вовсе нет  
chyba ; наверное
co ; что  
co najmniej ; по крайней мере  
co najwyżej ; самое большее  
co prawda ; правда   
coś ; что-то  
cóż ; что же  
czego ; чего  
czemu ; почему  
czy ; ли  
czyli ; то есть  
czyż ; разве  
czyżby ; неужели  
dlaczego ; почему  
dlatego ; поэтому  
dopiero ; только  
doprawdy ; в самом деле  
ino ; только, лишь  
jak ; как  
jak gdyby ; как будто  
jakby ; как бы  
jakoby ; будто бы  
jakoś ; как-то  
jakże ; как же  
jednak ; однако  
jedynie ; лишь  
jeno ; только  
jeszcze ; ещё  
lada ; любой 
ledwie ; едва  
ledwo ; едва  
mianowicie ; а именно  
między innymi ; среди прочего  
mniejsza ; неважно  
może ; может быть  
możliwie ; возможно  
nader ; крайне  
nadto ; сверх того  
naprawdę ; действительно  
nareszcie ; наконец-то  
następnie ; затем  
naturalnie ; естественно  
nawet ; даже  
nie ; не  
niech ; пусть  
niechaj ; пусть  
niechże ; пусть же  
niejako ; в некотором роде  
niemal ; почти  
niemniej ; тем не менее  
nieomal ; почти  
niestety ; к сожалению  
niewątpliwie ; несомненно  
no ; ну  
oczywiście ; конечно  
omal ; чуть не  
oto ; вот  
otóż ; итак  